channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,JNFbgkRrL8M,18-24,다이어트 중 배신당함…. #고도비만다이어트 #다이어트레시피 #다이어트식단 #고도비만브이로그,2026-02-03T13:57:30Z,PT1M1S,61,thumbnails/무브나Movena/JNFbgkRrL8M.jpg,https://i.ytimg.com/vi/JNFbgkRrL8M/maxresdefault.jpg,https://www.youtube.com/watch?v=JNFbgkRrL8M,True,duration,,,True
무브나 Movena,UCTDFr-lur2d3dNBRwF0N_HA,hqLCLp2o0N0,18-24,초간단 다이어트 식단 청포묵사발 만들기 #고도비만다이어트 #체중감량 #다이어트식단 #고도비만브이로그,2026-01-31T18:44:32Z,PT1M8S,68,thumbnails/무브나Movena/hqLCLp2o0N0.jpg,https://i.ytimg.com/vi/hqLCLp2o0N0/maxresdefault.jpg,https://www.youtube.com/watch?v=hqLCLp2o0N0,True,duration,,,True
헨티야 살빼야지,UCu6rbZ120HokurXiqnLUcOA,mUWMfwJ3dYA,18-24,너 왜 거기 있어;;,2026-03-12T08:39:43Z,PT16S,16,thumbnails/헨티야살빼야지/mUWMfwJ3dYA.jpg,https://i.ytimg.com/vi/mUWMfwJ3dYA/maxresdefault.jpg,https://www.youtube.com/watch?v=mUWMfwJ3dYA,True,duration|keyword,,,True
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,MpGLuKmJUQw,18-24,다이어트랑 점점 더 멀어지는 이유 #탄수화물중독,2026-03-22T01:15:34Z,PT1M,60,thumbnails/안녕하소HASO/MpGLuKmJUQw.jpg,https://i.ytimg.com/vi/MpGLuKmJUQw/maxresdefault.jpg,https://www.youtube.com/watch?v=MpGLuKmJUQw,True,duration,,,True
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,r4_PrN0LfYM,18-24,오바쟁이 친구랑 여행오면 생기는일,2026-03-17T15:39:50Z,PT1M14S,74,thumbnails/안녕하소HASO/r4_PrN0LfYM.jpg,https://i.ytimg.com/vi/r4_PrN0LfYM/maxresdefault.jpg,https://www.youtube.com/watch?v=r4_PrN0LfYM,True,duration,,,True
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,1kotLI1_T-M,18-24,남친이랑 있을때랑 찐친이랑 있을때 차이 #제주도펜션 #쿠지홀리데이 #협찬,2026-03-07T10:34:06Z,PT54S,54,thumbnails/안녕하소HASO/1kotLI1_T-M.jpg,https://i.ytimg.com/vi/1kotLI1_T-M/maxresdefault.jpg,https://www.youtube.com/watch?v=1kotLI1_T-M,True,duration,,,True
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,s3sNHiuyQxU,18-24,"탄수화물이 미치도록 땡기는 날 먹은 것,,,",2025-12-27T15:52:05Z,PT50S,50,thumbnails/안녕하소HASO/s3sNHiuyQxU.jpg,https://i.ytimg.com/vi/s3sNHiuyQxU/maxresdefault.jpg,https://www.youtube.com/watch?v=s3sNHiuyQxU,True,duration,,,True
안녕하소 HASO,UCdI0eDsvLrdHCTYIPVyc8hw,b5YByMo-dBQ,18-24,🎄크리스마스트리 케이크 만들기!,2025-12-13T14:20:21Z,PT49S,49,thumbnails/안녕하소HASO/b5YByMo-dBQ.jpg,https://i.ytimg.com/vi/b5YByMo-dBQ/maxresdefault.jpg,https://www.youtube.com/watch?v=b5YByMo-dBQ,True,duration,,,True
다이어터윤,UCjf97H7AtbVfrX8-35Z302Q,3GhsyGQ7_28,18-24,-23kg what i eat 💭🍎💛 #다이어트브이로그 #다이어트레시피,2025-11-11T10:09:56Z,PT28S,28,thumbnails/다이어터윤/3GhsyGQ7_28.jpg,https://i.ytimg.com/vi/3GhsyGQ7_28/maxresdefault.jpg,https://www.youtube.com/watch?v=3GhsyGQ7_28,True,duration,,,True
다이어터윤,UCjf97H7AtbVfrX8-35Z302Q,IFMi-wrbvRw,18-24,-23kg what i eat 💭🍙🤍#다이어트브이로그 #dietvlog,2025-11-06T08:54:47Z,PT31S,31,thumbnails/다이어터윤/IFMi-wrbvRw.jpg,https://i.ytimg.com/vi/IFMi-wrbvRw/maxresdefault.jpg,https://www.youtube.com/watch?v=IFMi-wrbvRw,True,duration,,,True
다이어터윤,UCjf97H7AtbVfrX8-35Z302Q,RVK3kESRlcA,18-24,-23kg what i eat💭🥒😋#다이어트브이로그 #dietvlog,2025-11-05T10:08:57Z,PT30S,30,thumbnails/다이어터윤/RVK3kESRlcA.jpg,https://i.ytimg.com/vi/RVK3kESRlcA/maxresdefault.jpg,https://www.youtube.com/watch?v=RVK3kESRlcA,True,duration,,,True
닥터로미의 성형노트,UCO_MXYZzB5vNkdcCWUXz5Rg,Bp20U3ayatg,18-24,성형외과 의사가 지인 수술을 거절한 이유,2026-03-23T12:30:26Z,PT1M1S,61,thumbnails/닥터로미의성형노트/Bp20U3ayatg.jpg,https://i.ytimg.com/vi/Bp20U3ayatg/maxresdefault.jpg,https://www.youtube.com/watch?v=Bp20U3ayatg,True,duration,,,True
닥터로미의 성형노트,UCO_MXYZzB5vNkdcCWUXz5Rg,jfwKbg3xSXE,18-24,쌍꺼풀하고 눈이 더 작아진 사람,2026-03-16T09:01:05Z,PT32S,32,thumbnails/닥터로미의성형노트/jfwKbg3xSXE.jpg,https://i.ytimg.com/vi/jfwKbg3xSXE/maxresdefault.jpg,https://www.youtube.com/watch?v=jfwKbg3xSXE,True,duration,,,True
닥터로미의 성형노트,UCO_MXYZzB5vNkdcCWUXz5Rg,oMjPoqodprI,18-24,중3에게 이마거상은 과한게 아닐까?,2026-03-13T09:30:34Z,PT51S,51,thumbnails/닥터로미의성형노트/oMjPoqodprI.jpg,https://i.ytimg.com/vi/oMjPoqodprI/maxresdefault.jpg,https://www.youtube.com/watch?v=oMjPoqodprI,True,duration,,,True
비니BINEE,UC8tr6-Eys0CjF9h-yAte9Gg,utOKp5yNnco,25-34,카즈하 복근운동 효과 대박… 일주일 후기 끯여왔음요. #카즈하운동 #복근운동,2026-02-21T13:10:52Z,PT23S,23,thumbnails/비니BINEE/utOKp5yNnco.jpg,https://i.ytimg.com/vi/utOKp5yNnco/maxresdefault.jpg,https://www.youtube.com/watch?v=utOKp5yNnco,True,duration,,,True
비니BINEE,UC8tr6-Eys0CjF9h-yAte9Gg,6AxxTsMy5zM,25-34,하루만에 -1kg감량 성공😯..👍🏻 윤은혜 다이어트 이틀차 #다이어트 #연예인다이어트,2026-01-23T14:07:47Z,PT1M12S,72,thumbnails/비니BINEE/6AxxTsMy5zM.jpg,https://i.ytimg.com/vi/6AxxTsMy5zM/maxresdefault.jpg,https://www.youtube.com/watch?v=6AxxTsMy5zM,True,duration,,,True
비니BINEE,UC8tr6-Eys0CjF9h-yAte9Gg,bVYEe37ZqCY,25-34,윤은혜 급찐급빠 다이어트 해보기. #다이어트 #급찐급빠 #diet,2026-01-20T13:37:09Z,PT1M5S,65,thumbnails/비니BINEE/bVYEe37ZqCY.jpg,https://i.ytimg.com/vi/bVYEe37ZqCY/maxresdefault.jpg,https://www.youtube.com/watch?v=bVYEe37ZqCY,True,duration,,,True
닥터벨 DRBELL,UCdIdgmrsh3h40jvxDDbSu5Q,7aPvIiHfBec,25-34,운동했는데 체중이 늘었다면? 이거 때문입니다 🔍,2026-03-21T16:52:39Z,PT1M9S,69,thumbnails/닥터벨DRBELL/7aPvIiHfBec.jpg,https://i.ytimg.com/vi/7aPvIiHfBec/maxresdefault.jpg,https://www.youtube.com/watch?v=7aPvIiHfBec,True,duration,,,True
닥터벨 DRBELL,UCdIdgmrsh3h40jvxDDbSu5Q,us7A-KsXGZY,25-34,열심히 운동했는데 살이 늘었다? 진실 공개 💡,2026-03-20T12:21:07Z,PT1M18S,78,thumbnails/닥터벨DRBELL/us7A-KsXGZY.jpg,https://i.ytimg.com/vi/us7A-KsXGZY/maxresdefault.jpg,https://www.youtube.com/watch?v=us7A-KsXGZY,True,duration,,,True
