video_id,channel_name,title,duration,duration_sec,short_reason,youtube_watch_url,thumbnail_path,is_short_manual,short_check_note
RVK3kESRlcA,다이어터윤,-23kg what i eat💭🥒😋#다이어트브이로그 #dietvlog,PT30S,30,duration,https://www.youtube.com/watch?v=RVK3kESRlcA,thumbnails/다이어터윤/RVK3kESRlcA.jpg,,
Bp20U3ayatg,닥터로미의 성형노트,성형외과 의사가 지인 수술을 거절한 이유,PT1M1S,61,duration,https://www.youtube.com/watch?v=Bp20U3ayatg,thumbnails/닥터로미의성형노트/Bp20U3ayatg.jpg,,
jfwKbg3xSXE,닥터로미의 성형노트,쌍꺼풀하고 눈이 더 작아진 사람,PT32S,32,duration,https://www.youtube.com/watch?v=jfwKbg3xSXE,thumbnails/닥터로미의성형노트/jfwKbg3xSXE.jpg,,
oMjPoqodprI,닥터로미의 성형노트,중3에게 이마거상은 과한게 아닐까?,PT51S,51,duration,https://www.youtube.com/watch?v=oMjPoqodprI,thumbnails/닥터로미의성형노트/oMjPoqodprI.jpg,,
utOKp5yNnco,비니BINEE,카즈하 복근운동 효과 대박… 일주일 후기 끯여왔음요. #카즈하운동 #복근운동,PT23S,23,duration,https://www.youtube.com/watch?v=utOKp5yNnco,thumbnails/비니BINEE/utOKp5yNnco.jpg,,
6AxxTsMy5zM,비니BINEE,하루만에 -1kg감량 성공😯..👍🏻 윤은혜 다이어트 이틀차 #다이어트 #연예인다이어트,PT1M12S,72,duration,https://www.youtube.com/watch?v=6AxxTsMy5zM,thumbnails/비니BINEE/6AxxTsMy5zM.jpg,,
bVYEe37ZqCY,비니BINEE,윤은혜 급찐급빠 다이어트 해보기. #다이어트 #급찐급빠 #diet,PT1M5S,65,duration,https://www.youtube.com/watch?v=bVYEe37ZqCY,thumbnails/비니BINEE/bVYEe37ZqCY.jpg,,
7aPvIiHfBec,닥터벨 DRBELL,운동했는데 체중이 늘었다면? 이거 때문입니다 🔍,PT1M9S,69,duration,https://www.youtube.com/watch?v=7aPvIiHfBec,thumbnails/닥터벨DRBELL/7aPvIiHfBec.jpg,,
us7A-KsXGZY,닥터벨 DRBELL,열심히 운동했는데 살이 늘었다? 진실 공개 💡,PT1M18S,78,duration,https://www.youtube.com/watch?v=us7A-KsXGZY,thumbnails/닥터벨DRBELL/us7A-KsXGZY.jpg,,
axque4BsA48,닥터벨 DRBELL,가장 싸고 가장 쉬운 다이어트 방법 💦,PT1M19S,79,duration,https://www.youtube.com/watch?v=axque4BsA48,thumbnails/닥터벨DRBELL/axque4BsA48.jpg,,
nYo0PYk7CeM,닥터벨 DRBELL,살이 덜 찌는 몸 만드는 비밀 (장 속 유익균) 💡,PT1M22S,82,duration,https://www.youtube.com/watch?v=nYo0PYk7CeM,thumbnails/닥터벨DRBELL/nYo0PYk7CeM.jpg,,
TC6U2DuKS7I,제이제이살롱드핏,버터떡 스포일러🍞🥖🥐 #제이제이살롱드핏,PT23S,23,duration,https://www.youtube.com/watch?v=TC6U2DuKS7I,thumbnails/제이제이살롱드핏/TC6U2DuKS7I.jpg,,
N0BtCFBv_B0,제이제이살롱드핏,상체점수 테스트 4단계🔥,PT44S,44,duration,https://www.youtube.com/watch?v=N0BtCFBv_B0,thumbnails/제이제이살롱드핏/N0BtCFBv_B0.jpg,,
7sw8DrV5sk4,제이제이살롱드핏,위고비 등장이후 망한다던 헬스업계의 반전?,PT1M29S,89,duration,https://www.youtube.com/watch?v=7sw8DrV5sk4,thumbnails/제이제이살롱드핏/7sw8DrV5sk4.jpg,,
-6FS6iHF0SE,키다리형,헬스장에서 절대 할 필요없는 운동,PT1M37S,97,duration,https://www.youtube.com/watch?v=-6FS6iHF0SE,thumbnails/키다리형/-6FS6iHF0SE.jpg,,
lkVe27Ja4Mw,FitBurst,🔸4 Simple Triceps Exercises | Dumbbell Routine You Can Do Anytime🔥 #gymtips #fitnesstips #fitness,PT58S,58,duration,https://www.youtube.com/watch?v=lkVe27Ja4Mw,thumbnails/FitBurst/lkVe27Ja4Mw.jpg,,
l-Tfs0AIQvs,FitBurst,🔸6 Easy Seated Shoulder Exercises  Dumbbell Routine for Full Delts #gymtips #shoulder #fitnesstips,PT1M,60,duration,https://www.youtube.com/watch?v=l-Tfs0AIQvs,thumbnails/FitBurst/l-Tfs0AIQvs.jpg,,
GRlDbPDlYVE,FitBurst,🔸5 Best Barbell Back Variations🔥 #gymtips #fitnesstips #fitnessshorts,PT1M,60,duration,https://www.youtube.com/watch?v=GRlDbPDlYVE,thumbnails/FitBurst/GRlDbPDlYVE.jpg,,
08jFpRaSSpo,FitBurst,🔸4 Best Barbell Chest Exercises | Grip Variations for Full Chest Development🔥 #chest #chestday,PT59S,59,duration,https://www.youtube.com/watch?v=08jFpRaSSpo,thumbnails/FitBurst/08jFpRaSSpo.jpg,,
h-peKxN65hg,고운,다시 찾아 온 공구있는 날 vlog,PT1M21S,81,duration,https://www.youtube.com/watch?v=h-peKxN65hg,thumbnails/고운/h-peKxN65hg.jpg,,
SDKa1sS4n-A,고운,소화력 바닥일 때 먹은 것들,PT1M5S,65,duration,https://www.youtube.com/watch?v=SDKa1sS4n-A,thumbnails/고운/SDKa1sS4n-A.jpg,,
6irHcT3biWI,고운,나랑 눈 마주쳤으면 여기 꼭 가보기 | 아무거나 먹는 다이어터 vlog,PT1M22S,82,duration,https://www.youtube.com/watch?v=6irHcT3biWI,thumbnails/고운/6irHcT3biWI.jpg,,
2g7kzsk52HM,요가강사김선아YOGA_SUNA,#요가강사 다이어트 성공 탄력 비결은⁉️ #트리폴라 #트리폴라포즈브이엑스 #요가 #디바이스 #뷰티디바이스,PT1M3S,63,duration,https://www.youtube.com/watch?v=2g7kzsk52HM,thumbnails/요가강사김선아YOGA_SUNA/2g7kzsk52HM.jpg,,
oPakqH1qa6g,요가강사김선아YOGA_SUNA,자기전 1분 골반통증 없애기!!🧘🏻‍♀️🎀 #스트레칭 #자기전스트레칭 #골반스트레칭 #요가강사 #요가,PT1M1S,61,duration,https://www.youtube.com/watch?v=oPakqH1qa6g,thumbnails/요가강사김선아YOGA_SUNA/oPakqH1qa6g.jpg,,
m6DaZ9-7KKg,요가강사김선아YOGA_SUNA,#요가강사 서비스직? #요가자격증 #요가지도자 #요가ttc #요가,PT28S,28,duration,https://www.youtube.com/watch?v=m6DaZ9-7KKg,thumbnails/요가강사김선아YOGA_SUNA/m6DaZ9-7KKg.jpg,,
SWgu8tzAP_A,요가강사김선아YOGA_SUNA,🪷 #요가자격증 #요가지도자 #요가ttc 주목🧘🏻‍♀️💗 #요가강사 #요가,PT22S,22,duration,https://www.youtube.com/watch?v=SWgu8tzAP_A,thumbnails/요가강사김선아YOGA_SUNA/SWgu8tzAP_A.jpg,,
f8Q3lVbNxBE,요가강사김선아YOGA_SUNA,#요가지도자 거리 중요해요! 증말🥺 #요기자격증 #요가 #요가ttc #요가강사 🪷,PT21S,21,duration,https://www.youtube.com/watch?v=f8Q3lVbNxBE,thumbnails/요가강사김선아YOGA_SUNA/f8Q3lVbNxBE.jpg,,
