channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
다시 청춘,UCWupWRVfGxqARiSDqZkMhog,mwWxIFzuAG4,65+,신장 노화를 막는 꿀 먹는 법이 따로 있다?｜서울대가 증명한 '꿀 한 숟가락'의 놀라운 진실 | 신장건강 | 시니어건강,2026-03-18T12:20:55Z,PT23M49S,1429,thumbnails/다시청춘/mwWxIFzuAG4.jpg,https://i.ytimg.com/vi/mwWxIFzuAG4/maxresdefault.jpg,https://www.youtube.com/watch?v=mwWxIFzuAG4,False,,,,False
다시 청춘,UCWupWRVfGxqARiSDqZkMhog,cs6cxE0A1KY,65+,달걀보다 추천합니다! 기억력 떨어지는 뇌를 짱짱하게 살려주는 음식 한 가지,2026-03-17T11:10:53Z,PT21M53S,1313,thumbnails/다시청춘/cs6cxE0A1KY.jpg,https://i.ytimg.com/vi/cs6cxE0A1KY/maxresdefault.jpg,https://www.youtube.com/watch?v=cs6cxE0A1KY,False,,,,False
다시 청춘,UCWupWRVfGxqARiSDqZkMhog,Chd7k2h7XTY,65+,매일 먹던 약이 콩팥을 망칩니다! 신장병 환자가 꼭 알아야 할 ‘절대 금물 약 4가지’ | 시니어건강 | 신장,2026-03-16T10:37:27Z,PT19M17S,1157,thumbnails/다시청춘/Chd7k2h7XTY.jpg,https://i.ytimg.com/vi/Chd7k2h7XTY/maxresdefault.jpg,https://www.youtube.com/watch?v=Chd7k2h7XTY,False,,,,False
소중한내인생,UC9aBr3lDxrgYuzOCx7CUbxA,DbOmuWS1ZEg,65+,"부모가 떠난 뒤 형제가 남이 되는 진짜 이유, '돈' 뒤에 숨겨진 5가지 진실 | 인생지혜 | 노년의지혜",2026-03-23T10:45:01Z,PT43M40S,2620,thumbnails/소중한내인생/DbOmuWS1ZEg.jpg,https://i.ytimg.com/vi/DbOmuWS1ZEg/maxresdefault.jpg,https://www.youtube.com/watch?v=DbOmuWS1ZEg,False,,,,False
소중한내인생,UC9aBr3lDxrgYuzOCx7CUbxA,xMdYvGj0U8I,65+,"""노후가 비참해집니다"" 나이 들어 반드시 손절해야 할 5가지 유형 | 노후지혜 | 인간관계 | 인생조언",2026-03-21T10:45:11Z,PT36M41S,2201,thumbnails/소중한내인생/xMdYvGj0U8I.jpg,https://i.ytimg.com/vi/xMdYvGj0U8I/maxresdefault.jpg,https://www.youtube.com/watch?v=xMdYvGj0U8I,False,,,,False
소중한내인생,UC9aBr3lDxrgYuzOCx7CUbxA,Mey-_5hGicA,65+,"60세 이후, '이것'만 버려도 인생은 천국이 됩니다 | ""인생 별거 없더군요"" 그 허무함을 깨달은 순간 열리는 기적 | 인생 지혜 | 행복한 노후",2026-03-18T10:45:06Z,PT44M56S,2696,thumbnails/소중한내인생/Mey-_5hGicA.jpg,https://i.ytimg.com/vi/Mey-_5hGicA/maxresdefault.jpg,https://www.youtube.com/watch?v=Mey-_5hGicA,False,,,,False
소중한내인생,UC9aBr3lDxrgYuzOCx7CUbxA,PayQzvNknBU,65+,65세 때 '이것' 안 하면 80세에 비참해집니다.. 80대가 말한 인생의 진실 | 노후준비 | 인생지혜,2026-03-16T11:35:42Z,PT35M23S,2123,thumbnails/소중한내인생/PayQzvNknBU.jpg,https://i.ytimg.com/vi/PayQzvNknBU/maxresdefault.jpg,https://www.youtube.com/watch?v=PayQzvNknBU,False,,,,False
소중한내인생,UC9aBr3lDxrgYuzOCx7CUbxA,1Xoo3JnhboU,65+,누구를 만나든 딱 '3가지'만 척하세요. 원수조차 내 편이 되는 놀라운 변화 | 인간관계 | 삶의 지혜,2026-03-15T10:45:00Z,PT38M1S,2281,thumbnails/소중한내인생/1Xoo3JnhboU.jpg,https://i.ytimg.com/vi/1Xoo3JnhboU/maxresdefault.jpg,https://www.youtube.com/watch?v=1Xoo3JnhboU,False,,,,False
시니어시니어!,UCHhtRT2BHQvgIuxpuKiSLkw,P6pw24Zj6DM,65+,비행 5시간인데 이런 곳이? 코타키나발루 핵심 총정리 #shorts,2026-03-22T09:31:34Z,PT29S,29,thumbnails/시니어시니어/P6pw24Zj6DM.jpg,https://i.ytimg.com/vi/P6pw24Zj6DM/maxresdefault.jpg,https://www.youtube.com/watch?v=P6pw24Zj6DM,True,duration|keyword,,,True
시니어시니어!,UCHhtRT2BHQvgIuxpuKiSLkw,tgi86Rbn3OM,65+,"60대 해외여행, 누구나 가고 싶어하는 그 나라, 코타키나발루 완전 정복",2026-03-20T09:57:03Z,PT12M12S,732,thumbnails/시니어시니어/tgi86Rbn3OM.jpg,https://i.ytimg.com/vi/tgi86Rbn3OM/maxresdefault.jpg,https://www.youtube.com/watch?v=tgi86Rbn3OM,False,,,,False
