group,region,n,area_mean,area_std,share_mean,share_std,concentration_mean,concentration_std,hot_share_mean,hot_share_std,mean_act_mean,mean_act_std,concentration_ratio
65~,text,50,0.3393726084183674,0.21454897095212935,0.3102680836241055,0.24922860124532187,0.8566598238873808,0.4260904830289844,0.2830235640857238,0.3091305022157076,0.16311126225956596,0.1352234113937332,0.9142402065685196
65~,person,50,0.20929448341836734,0.23963276425280564,0.25094272762577263,0.28288107446959715,1.4239297636033768,1.0274133398095664,0.3138526569217199,0.3728298184691274,0.12272506819458574,0.12540166905652497,1.1989935115688306
65~,background,50,0.45133290816326527,0.27526898285927376,0.43878918875012174,0.3071747863535171,0.8972531579818288,0.30872829432746796,0.4031237789925563,0.3652433661353326,0.17617472155473493,0.09827348067046529,0.9722073901852378
~34,text,50,0.06201450892857139,0.09534120405479202,0.06989468580840985,0.1327269333066558,1.0633304357571238,0.8640823878381035,0.056304606033225735,0.14432283755453834,0.08516389687609394,0.09800173245291519,1.1270698908365926
~34,person,50,0.19284757653061224,0.2858140059359812,0.20612588309476684,0.29441970166341147,1.6139721962062483,2.8544820675054186,0.1983263213336253,0.29681240865639935,0.07073258662102458,0.10543613620971187,1.0688538938525205
~34,background,50,0.7451379145408162,0.2945522048376635,0.7239794310968233,0.2971432294799368,0.9847703392523216,0.18113561070117593,0.7453690726331489,0.3049820370213737,0.1429478303891541,0.07215031904324276,0.9716046076422891
