channel_name,channel_id,target_age,vling_url
우리 모두 튼튼,UCOUzm2Kw5nKAwyDd1ewjXwA,55-64,https://vling.net/channel/UCOUzm2Kw5nKAwyDd1ewjXwA/ai-insight
무조건당신편,UCTp5fJVTDuFmf_dVfIMF7Nw,55-64,https://vling.net/channel/UCTp5fJVTDuFmf_dVfIMF7Nw/ai-insight
이상대 중년 홈트 - 45세 이상 초간단 운동,UCokhKITywla4LgvmkjAHhVQ,55-64,https://vling.net/channel/UCokhKITywla4LgvmkjAHhVQ/ai-insight
백세지혜길잡이,UCKm4_DlQnY6U6SXVeDGDMhw,55-64,https://vling.net/channel/UCKm4_DlQnY6U6SXVeDGDMhw/viewers-info
이동욱의 백세건강 TV,UCpKHS8_xkkS23d23n3Wk8yw,65+,https://vling.net/channel/UCpKHS8_xkkS23d23n3Wk8yw/ai-insight
건강박사,UC2-gb53qXD1LgyRq0K36l8A,65+,https://vling.net/channel/UC2-gb53qXD1LgyRq0K36l8A/viewers-info
DR.Dylan의 건강 비결,UC3454ef0lSLjBSjmKH0bs9A,65+,https://vling.net/channel/UC3454ef0lSLjBSjmKH0bs9A/viewers-info
건강생활,UCeae_8zNL3z0iDOZyIpAskA,65+,https://vling.net/channel/UCeae_8zNL3z0iDOZyIpAskA/viewers-info
서로건강,UC051O1-21M1W2oCYJbn3aAQ,65+,https://vling.net/channel/UC051O1-21M1W2oCYJbn3aAQ/viewers-info
다시 청춘,UCWupWRVfGxqARiSDqZkMhog,65+,https://vling.net/channel/UCWupWRVfGxqARiSDqZkMhog/viewers-info
소중한내인생,UC9aBr3lDxrgYuzOCx7CUbxA,65+,https://vling.net/channel/UC9aBr3lDxrgYuzOCx7CUbxA/viewers-info
시니어시니어!,UCHhtRT2BHQvgIuxpuKiSLkw,65+,https://vling.net/channel/UCHhtRT2BHQvgIuxpuKiSLkw/viewers-info
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,65+,https://vling.net/channel/UCzDs6GlAZsYlGbd_OUBdjmA/viewers-info
백세친구,UC9IdV7zIlIXm8UXU2JH7pSg,65+,https://vling.net/channel/UC9IdV7zIlIXm8UXU2JH7pSg/viewers-info
