channel_name,channel_id,target_age
제일리핏케어,UCf_rpPJVcXa9xJ32s7Q4UEQ,small
Master Healer 성영주,UCx9owdsdbalU0ejMN0jDbkg,small
헬저씨,UCSA1fvrRfwWAgN-2iuGlQRQ,small
건국대학교병원,UCO73y3Xo_W4DB_pUImiYheA,small
참하지외과 CHARM VEIN CENTER,UCiHlyAgWpFxsedbIkTLtV1A,medium
KK건강TV,UCegFIx1LTAYGAHvvGq8UGng,large
마음챙김TV (최현성),UCe_u11uVzBTf76xw_quR1cA,small
정세연의 라이프연구소,UCj8zZ1a8Lqtj4wY2bHbcIaQ,large
Healing Studio,UCbSfuDSl9YPBjubukvchZfQ,small
현실의 코덱스,UC0Ajz54XeAYdF8MlKLkIJqQ,small
꾸러기 건강닥터,UC897htqSWjwPSgfCaVmh_XA,large
Doctalk,UCaCYiweMo3xsNtTRW38icKA,small
별씽튜브,UC3vuKYYunHhPa9gq9kBWwsQ,small
JM WORKOUT : KIM JUNG MIN 김정민,UCYajbktFJOUlNeu2cIfGxGw,small
50대채널,UCM5fU-eTFFHkLopBY5tbe1A,medium
오쿨리TV,UC9fmtKeuHczIsFisgYEnW-w,small
치아재TV,UCq26t4NQzTUlWJ8CrqHEglQ,small
이건민의 풍성한 이야기,UCMYFfUu0IHJTF7J4hE-1lGg,medium
롯데홈쇼핑 롯튜브 ,UCwhegDfCyzBBKZnJgs6ggqw,medium
에이핏 afit,UCRGZCFuFCwp2D_YKByrqRfw,large
하다,UClLrYUwV5coRpu-yLJ_E8uw,small
권은구_Kwon eun goo,UCv8PoI4yS3lLb5P-tGozVRw,small
경희의료원,UCSPd120sfHaijEkMmDNVdKQ,small
동영박사,UCXPiqdKeaCd1K82ZGg3ccVw,small
책도리TV,UCbaXu_mTn6ya_pabSkx7xxw,large
닥터 정직왕,UCK7EFcwENTp8vu42PVdRXGQ,small
"맞춤주치의, 닥터JM",UCnytxIobBmUuWf1kf8GiX4g,small
행복한의사 김정훈의 건강이야기,UCaPfNqobWHUC9fQTD1MShdg,medium
연세신통TV,UCDp34bAXaJbo7PT1igMMQKg,large
