channel_name,channel_id,target_age
건강박사,UC2-gb53qXD1LgyRq0K36l8A,health
시니어생활수첩,UCupLKcszhhKwxF4rOcnlWYw,health
암알지TV방송,UCzr7QSvnOZ4yPG9GK-8_tUQ,health
퀴즈의 제왕,UCAfJcM064jZBOSdqnNI73xw,health
에너지힐링 Energy Healing,UC2qcq4kqvbbdHIoi5dEm-Eg,health
이지약사tv,UCCMFTDGarjgZLc1DlIbbvRg,health
용닥터,UCaeONHcrE9ie2ZPdGVv-Yyg,health
종부원리 Jongboo principle,UC7DmHPJiGzVxOYJt0qy7sUw,health
한국보훈복지의료공단,UCzU1v5rL8paTs1herRUgOTg,health
나근사설,UCFIWQ9OqK7FxawPFZEVnQog,health
지혜와성실,UCqUqYA4BKYcLFonQaUjNULQ,health
건희로운날들,UCl6FnZ-V6QJ0Amuwjydmvxg,health
초딩입맛자덕,UCg5uly-aCRfD6N7UgaOV3PQ,health
SOOD_ Edward Park,UCEcL8vvX2V0z2nM8oXQVIeQ,health
힐링트리뮤직 Healing Tree Music & Sounds,UC1RG7m8FwFKgB3IpfN3ccew,health
제우스남성의원 원장 이석영,UCPULZ1uKpIlx0228uMNFOEA,health
일동제약 그룹,UCptOgDFSSKYm-bHl7ijd8Lw,health
신경과전문의 박재현,UCFhliquzU-5I83gMrb-HIVw,health
"김경철의 웰케어: 잘먹고, 잘자기",UC-4yGit6ge_bXpyTqkCBxhA,health
다시 시작하는 재활(Restart Rehabilitation) ,UCVtnpN5cwtuYF-1EP72SsPw,health
오상신경외과의원,UCBe0N2MoWhVKHKEoYPl8XvQ,health
강하나 스트레칭_stretching,UCxHcczukcG21up2MBe8yP_Q,health
요리하는다이어터,UCUsoowBBnGAmhl0XBaFuQWA,health
근성장훈련소 MuscleCamp,UCO32LLnrAUlLuT-0KP4aP3A,health
Curistory,UCVSWDPRFLZZfvNG-KKk3LHQ,health
우주기,UCMpTteg2C4jYAhoSzFeEtZA,health
하나이비인후과병원,UCCOty33v-EPEnShT3975ZyA,health
비앤빛TV,UCHIH-Fu_7HLjE3SHkirGlig,health
서울대학교병원 강남센터,UC7b852QbNlkegn8GdSkYWZw,health
이재성 박사의 식탁보감,UCUIDRva6N0c3I10d9QOqefw,health
김주환의 내면소통,UCYNnQhFGE-EP0HrWRxMGUaw,health
채널당뇨왕,UCfTj5cD0quVuTpodSZUF73A,health
Yeji Psychology,UCVtmrt8prEpmjpy6Y7xSwGg,health
이음여성한의원 김우성 원장,UC-6BfHzSG1_ZfcQZn5PeoMg,health
노트성형외과,UC2OIyb2serotqDyEzQYyCtA,health
Elsa-log,UC2Kxg0lVzKB2-N7tXAVQhrw,health
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,health
두부다비 Dubu-Dabi,UC0yB3f_3UxzoCf-X36KhQ9Q,health
