Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
꿀키honeykki,https://vling.net/channel/UCvQPUPoMK0Smj-OHeUe9SEw,UCvQPUPoMK0Smj-OHeUe9SEw,2040000,4584
다비나,https://vling.net/channel/UCT-tI_HRDfeJ0iV-10DQIfw,UCT-tI_HRDfeJ0iV-10DQIfw,16000,3954
엄마의 요리백과,https://vling.net/channel/UCyUH1C9_ozagToXDxgGjFGg,UCyUH1C9_ozagToXDxgGjFGg,404000,27152
와인 좀 한해,https://vling.net/channel/UCsTjitDbkUW20H3U20ITqaw,UCsTjitDbkUW20H3U20ITqaw,62000,32861
인천맛집상륙작전,https://vling.net/channel/UClsLP659P7Vhc1qQoo9vE3A,UClsLP659P7Vhc1qQoo9vE3A,17800,1936
빈스푸드 Bin's Food,https://vling.net/channel/UChu1vY_Mb0XVpfkruXoaiWg,UChu1vY_Mb0XVpfkruXoaiWg,80800,5358
푸드에이전트,https://vling.net/channel/UC8YJM-QOD3deUqOQZHKgnhw,UC8YJM-QOD3deUqOQZHKgnhw,12800,31850
발효공방,https://vling.net/channel/UCs9EeGC_mA7Wz-eGiyOPCpQ,UCs9EeGC_mA7Wz-eGiyOPCpQ,25000,2093
째링,https://vling.net/channel/UCb2wQgdDmoAbLdiBpJ8Ruiw,UCb2wQgdDmoAbLdiBpJ8Ruiw,92200,34976
나진Najin,https://vling.net/channel/UC7KrS6xya8Tl8OeDVhf5sIQ,UC7KrS6xya8Tl8OeDVhf5sIQ,167000,8300
손맛할머니 sonmat,https://vling.net/channel/UCM8I0fLEuue4wvyk19EVBwA,UCM8I0fLEuue4wvyk19EVBwA,302000,40659
빵야TV,https://vling.net/channel/UCPpSG1fTjURODZvlfsYuE9A,UCPpSG1fTjURODZvlfsYuE9A,47700,4214
장사왕 임사부,https://vling.net/channel/UCBcjbe_WgoawLG53Ulb6npQ,UCBcjbe_WgoawLG53Ulb6npQ,110000,7941
쿡피아 Cookpia,https://vling.net/channel/UCyn7aoxdLNDZG2ZXXLoVCNQ,UCyn7aoxdLNDZG2ZXXLoVCNQ,983000,48925
빅마마 이혜정,https://vling.net/channel/UCycoO2a67TSy0U_KshISieQ,UCycoO2a67TSy0U_KshISieQ,282000,20999
윤숙희 YunSuki 혼술하는여자,https://vling.net/channel/UC9tS7GAw9w_AnhLbgldCWow,UC9tS7GAw9w_AnhLbgldCWow,219000,48773
