channel_name,channel_id,subscribers,avg_daily_views
닥터 살루스,UCIJXye7VhSVT-7agMoZdMpQ,15800,1129
부산365mc - 지방이TV,UCN1A0pT9YtzTQBNPE6KxC8w,17200,7340
유소이 Soi makeup,UCo6ozRtUbiwYaPnf5WIBNNg,14800,551
홈트닥터,UCaNATT80YRUcuCZ3Ln6awaw,19300,501
학교체육진흥회,UCfnaxgFfqsLtv5piDLs12GQ,18200,4973
웰빙라이프TV,UCrOaUvaWKQPnaoUfJqI8Xqw,26200,992
옥구,UCv3MuIE41RrT2m3PXi4kKFw,21200,1458
제일리핏케어,UCf_rpPJVcXa9xJ32s7Q4UEQ,27500,42969
Master Healer 성영주,UCx9owdsdbalU0ejMN0jDbkg,14000,3449
헬저씨,UCSA1fvrRfwWAgN-2iuGlQRQ,17200,2559
건국대학교병원,UCO73y3Xo_W4DB_pUImiYheA,48600,2042
참하지외과 CHARM VEIN CENTER,UCiHlyAgWpFxsedbIkTLtV1A,58900,6332
KK건강TV,UCegFIx1LTAYGAHvvGq8UGng,238000,1175
마음챙김TV (최현성),UCe_u11uVzBTf76xw_quR1cA,19100,182922
정세연의 라이프연구소,UCj8zZ1a8Lqtj4wY2bHbcIaQ,1110000,33169
Healing Studio,UCbSfuDSl9YPBjubukvchZfQ,38500,7937
현실의 코덱스,UC0Ajz54XeAYdF8MlKLkIJqQ,11700,5643
꾸러기 건강닥터,UC897htqSWjwPSgfCaVmh_XA,282000,7869
Doctalk,UCaCYiweMo3xsNtTRW38icKA,15000,3387
별씽튜브,UC3vuKYYunHhPa9gq9kBWwsQ,17200,2135
JM WORKOUT : KIM JUNG MIN 김정민,UCYajbktFJOUlNeu2cIfGxGw,17900,342
50대채널,UCM5fU-eTFFHkLopBY5tbe1A,76800,7113
묘한의사,UCfoYhXOvlYcQ77DFjoKVShw,43700,2203
ほのぼのラジオ,UCoEvqxj4MXmG71XAbWyAkWQ,66900,27018
김가은 한의사의 오늘치유,UC4Qv1IkLa2QgAaDeILgy47A,18700,5021
경희신맥한의원,UCrJG7sgkVfICn-3_MeXiaRA,21500,4461
대도농원,UCrib-_N4qDksH0s3gsJj9cw,12300,1193
원더풀 마인드,UC_tSje-LM1-3KBrpnRCx-uA,22300,1164
다이어트독학,UCYNbAXBuzpf1-EzWxZpxVkw,31600,3894
오쿨리TV,UC9fmtKeuHczIsFisgYEnW-w,11800,497
Go민정이,UCkIEhLQ_Qklj_5kI-2CVtLg,52700,3981
서울아산병원,UC08tP3KIyCK9vYNZm5qQuiw,386000,26365
남의철 DEEP & HIGH SPORTS,UChH-OfsKn49iR5NiFmKqlSg,12200,521
DN.Beauty Spanish,UC6djDPQBnPKgQfabG1AWvVw,170000,14101
운동발전소,UCKcoIgqVJfhkM90ouK8TFaw,16700,315
습관 교육자 호남두,UCiUGAEAdFdVklbAuNr4pBjA,100000,15477
치아재TV,UCq26t4NQzTUlWJ8CrqHEglQ,16000,11885
이건민의 풍성한 이야기,UCMYFfUu0IHJTF7J4hE-1lGg,91300,25132
롯데홈쇼핑 롯튜브 ,UCwhegDfCyzBBKZnJgs6ggqw,101000,25115
에이핏 afit,UCRGZCFuFCwp2D_YKByrqRfw,859000,42456
닥터 표TV Dr Pyo TV,UCgFupN0s5eAxvvgAFgvriRA,59900,1931
약드라이브,UCCGR6u27kI44_VWM1FJa7mw,11200,2712
하다,UClLrYUwV5coRpu-yLJ_E8uw,13800,269
권은구_Kwon eun goo,UCv8PoI4yS3lLb5P-tGozVRw,15700,126
