channel_id,channel_name,n_videos,cluster_id
UC48wNsIXU0ayfiAblWCKNGg,(작사작곡가)골든아이#음원발매,10,1
UC4A4MaASYX1WkFAhp0JCwLA,김김푸드KFood,10,0
UC4M0r-r1pMcf57OdRgsWVkA,고팡 GopangTV,10,0
UC4ZA57iJrf73bJlApKFeLRw,스튜디오 수제,10,0
UC4rTp2shItMJ2QMv7DIEcuw,강용맹이(평범한식탁),10,0
UC4rp3IXPhmQoYqZUCUMP6hA,정대표 Ceojung,10,0
UC4xLr5O6zAt9nfi9zEzZZ0g,곰슈슈 gomshushu,10,0
UC4yDkTiEcy3hJ9LfCdx9Pkw,피기보이 PiggyBoy,10,0
UC50ac0_x8ZDoCSEpNV0p3-Q,지뉼랭가이드,10,1
UC52-_r6ABNonw0UURJmla7A,노모어피자,3,1
UC55T49igez4-r1iv7bAJezw,-산라가만들다,10,1
UC55_tv0_KXXslNlXGHlWxSQ,단미라탄,10,1
UC57ykpQztHaV1yWcseWDMmw,춘천약초TV Flower tea,10,0
UC5CJ8GK3WVxb4JMSD9DaZWg,미캉부부,10,1
UC5Cg42H0vqvXQ_XLxV5U7nA,박준면의 낯가림,10,0
UC5FyoQEHNVE39eooygqG97Q,單單小姐Miss DanDan,10,0
UC5G4rc0pwGP2H19m4ORaYPA,[대근대근] DAE KEUN,10,0
UC5MEyyTTlz8d9M4AkpWx32Q,또딘또딘,10,1
UC5N39ahEi9x6W-MYkOFSwIw,나하모니Da62,10,1
UC5T4b53jVkm07JbYoyYiu7A,흑백리뷰,10,0
UC5WgT84wRQkhKfUIJI6Pl2w,FoodTory 푸드토리,10,0
UC5XELM2gMbAQ2rv_TI2PsLQ,도던,10,1
UC5XuQ-xiWAB6f-qu6gJMDBQ,흥삼이네 Heungsam's Family,10,0
UC5gDYne32_mbynL6SbQEE6g,마녀맘 변미자,6,0
UC5jHGolFUNHe0HsCJEKbb3g,효닝 Hyoning,10,0
UC5oft5dVf43M2cFmhpJLVGQ,애주가TV참PD,10,0
UC5p4fTVsY6a8UiUuppVFtZg,엄폴 삼촌 Uncle Umpaul,10,1
UC60126GZFq0ALxVjTcl0QrQ,효비HyoBee,10,0
UC6DfdW0uxEzvj3gKEfZD4Pg,사에쨩,10,0
UC6EVblMaNgsx5P9TuqlE9SQ,방랑자채널,10,1
UC6EZKAzHbRuumr2DVx17LRw,반진tv,10,1
UC6KnqtxjfpKs9H4udPDBcEw,영월김삿갓,10,1
UC6NrrEp1e3-A51SSinM3Y-Q,Nebom 사계절의 네봄,10,0
UC6RT0rczmhSSkWwQvh0hPnA,배동성&전진주의 정밥TV,10,0
UC6W6gdJBFCdVwjexmWU713g,임실 농사꾼,10,0
UC6e9t_AGDGJfs_Zch7koxNA,옥전농부(나무노래소통),10,1
UC6fgwVZ9e_tm0tPxQIVei2g,김치빌더,10,0
UC6lNIbU1SSA9YjveOx9a_oA,LunLuns,10,0
UC6m9CiD1jU52di9WoFNcbOg,덕자네집밥,10,0
UC6vKU-AHjo4wQA2W-jfEJDA,뉴라이프 𝐍𝐞𝐰 𝐋𝐢𝐟𝐞,10,0
UC71-L6-oKOdnXk8_6-7nNNg,쉘위스키,10,1
UC78s1vArhs1jZwf68_adITA,내복곰 Nebokgom,10,1
UC7AkdDZ21EXwL5vr4CmFvbA,김알파카 쉬운 인생,10,0
UC7HVRZzjNb8BKVgsqRZEG7A,gardenhong,10,1
UC7I95AHA-Fwkedg3IK6GNcg,대박언니 DAEBAKUNNIE,10,0
UC7J5_YX7A-cm_kQYPlKRLvA,한우자조금,10,1
UC7JCi7Wcyfs7URQ0K6_8-gg,전문점 레시피 '파는맛',10,0
UC7KOWCwcHv_uW_BvRs28SpA,영차,10,0
UC7KrS6xya8Tl8OeDVhf5sIQ,나진Najin,10,0
UC7X2eb6zU7YY_ccL1JYNKhg,까망 레시피 kkamang,10,1
UC7_5wc5eeOXpt_WDheHgSjw,똘비 ddolbi,10,0
UC7fnIzjW2FdBO4sSY82c_iw,쏘울맛집,10,0
UC7jL5tY32fARwuQf8y3lyXg,살림맨,10,1
UC7ok_PMSTIY5Qg4ULxRoSNg,후다닥요리,10,0
UC7qeL7v_NvJqHCGSTGfR_tw,껨돈,10,1
UC7r8m1vZZDc3kp258gOcTUQ,숙키sookkie,10,1
