title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
삶의 맥을 짚어주는한의사,https://www.youtube.com/channel/UCKtkEOc0Xl1z5zWmxn4piPw,3430,7,50.0,49.0,,,,,,,
비전하이,https://www.youtube.com/channel/UCGvd4pLn8V_KRnrWFXaFF1w,437,7,42.0,57.0,,,,,,,
생각하는기계,https://www.youtube.com/channel/UC8XXXZWsfFSOkdmTPhaA3mA,51,7,32.0,67.0,,,,,,,
책쏘리,https://www.youtube.com/channel/UC9bOdSQrPyRtjfuFb_S4uYA,4530,7,34.0,65.0,0.4955401387512388,9.31615460852329,22.59663032705649,18.731417244796827,27.35381565906839,15.659068384539149,5.847373637264618
수능영어문제푸는법,https://www.youtube.com/channel/UCB836iQvpsPOMDg73rdJaBA,170,7,43.0,56.0,1.24804992199688,18.61674466978679,37.441497659906396,12.272490899635988,20.176807072282894,8.996359854394177,1.24804992199688
박숙희 강의 인사이트,https://www.youtube.com/channel/UCKq220kanqDV-U8tHfQnP1g,1780,7,49.0,50.0,2.5654730090860505,13.842864778193478,24.318546231961516,24.74612506680919,23.409941207910204,7.482629609834312,3.6344200962052375
Jinsung Lim,https://www.youtube.com/channel/UCUim-1RJOzs3N_mOOJ5so-g,11300,7,46.0,53.0,,,,,,,
퀀텀잉글리시,https://www.youtube.com/channel/UCwrZQE05H_qjkhZX6VewW5Q,261,7,39.0,60.0,,,,,,,
멘탈요정 - 삶에 도움 되는 글,https://www.youtube.com/channel/UCIb_CHwIHkum7AVJsrtPOJA,843,7,49.0,50.0,,,,,,,
우리 들의 이야기,https://www.youtube.com/channel/UCZZEukVBZvIWdHmdC_IWYhQ,511,7,46.0,53.0,,,,,,,
달달 책마루,https://www.youtube.com/channel/UCVQjKoRJrwMTYEgwa_9Ydmg,1760,7,46.0,53.0,3.091787439613527,1.8357487922705313,10.917874396135266,17.681159420289855,32.7536231884058,25.314009661835748,8.405797101449275
Basic Korean Language ,https://www.youtube.com/channel/UCi0_zm5BGydX0h67-C23YRg,2960,7,40.0,59.0,2.4494142705005326,14.643237486687969,28.8604898828541,24.8136315228967,16.293929712460063,10.063897763578275,2.8753993610223647
2020청소년책의해,https://www.youtube.com/channel/UCV1OOLHqSMRzK-SXAVeV18A,403,7,36.0,63.0,1.4361702127659577,5.851063829787234,22.18085106382979,20.372340425531913,29.04255319148936,16.861702127659576,4.25531914893617
남서울실용전문학교,https://www.youtube.com/channel/UC6_r9m_zEFYFgJZ_kzTZvUA,100,7,37.0,62.0,1.7543859649122806,24.880382775119617,42.849548112706,13.18447634237108,13.822434875066456,2.7644869750132908,0.7442849548112705
지혜의 보물창고,https://www.youtube.com/channel/UCfZmn1246UNCYCAJyahmW4A,1370,7,40.0,59.0,9.332113449222321,2.7447392497712717,6.4958828911253415,13.357731015553522,21.50045745654163,25.846294602012804,20.7227813357731
지혜의광장,https://www.youtube.com/channel/UCjwlLlPu4ttNNCRIPkx8EPw,555,7,52.0,47.0,1.0376134889753565,3.4587116299178557,5.53393860786857,9.641158668396024,20.66580198875919,30.86900129701687,28.793774319066145
테디의 비밀노트,https://www.youtube.com/channel/UCT8soYbNyAZjh3AWw2EIiQg,6050,7,24.0,75.0,,,,,,,
Tale Tapestry,https://www.youtube.com/channel/UCquoHD6Vjk-RTLY6zXbZ7Ng,207,7,38.0,61.0,0.29940119760479045,2.295409181636727,11.626746506986025,14.37125748502994,26.796407185628745,29.64071856287425,14.97005988023952
제이픽(탐독주의),https://www.youtube.com/channel/UCvf_9QJ29ViQCfn6i3arJoQ,1050,7,45.0,54.0,,,,,,,
IHFB Careers,https://www.youtube.com/channel/UCRkzPQPj9shOL5w09gTBI6g,295,7,40.0,59.0,,,,,,,
Lpdl Swq,https://www.youtube.com/channel/UCEx9EbOEt45TreyA1_a5OQQ,11,7,36.0,63.0,1.1787819253438114,14.047151277013754,33.988212180746565,22.4950884086444,18.860510805500986,7.121807465618861,2.308447937131631
수학긁복 - 연아형,https://www.youtube.com/channel/UCCmsCMqrgu0GjnYBwQIeBmQ,2670,7,33.0,66.0,,,,,,,
유가람,https://www.youtube.com/channel/UC8HQEWXcAjJi6qebEN1Ujyg,218,7,30.0,69.0,,,,,,,
원형의 목소리,https://www.youtube.com/channel/UC8TPWjBoU9uhj-6wvRv-D_Q,489,7,32.0,67.0,0.33975084937712347,3.057757644394111,14.04303510758777,19.932049830124576,28.652321630804078,24.34881087202718,9.626274065685164
아트 도감 kr,https://www.youtube.com/channel/UCZ4kEVvKk8HYstEa7RabBUA,389,7,45.0,54.0,,,,,,,
라트버잉글리쉬,https://www.youtube.com/channel/UCcG5s9IFAbA0PzgeNtzi7sg,2600,7,40.0,59.0,0.40858018386108275,5.720122574055157,17.773237997957096,16.547497446373853,23.79979570990807,23.697650663942795,12.053115423901941
지식영어TV,https://www.youtube.com/channel/UCfGHfxLmZLUXrqVlN82fXfw,4680,7,38.0,61.0,0.29296875000000006,1.3671874999999998,6.152343750000001,8.69140625,22.216796875,31.591796875,29.687499999999993
인생의 지혜,https://www.youtube.com/channel/UC1Fgvn6Q9wIkpeH5EXVGaDA,16200,7,53.0,46.0,,,,,,,
캔디코코🎀candycoco,https://www.youtube.com/channel/UCk9mQwc2rox1Srxi_HQsKVA,702,7,39.0,60.0,,,,,,,
엘리 ellie,https://www.youtube.com/channel/UCChys03sgrWDoUz-KVBvfFw,616,7,25.0,74.0,,,,,,,
김정구타일,https://www.youtube.com/channel/UC0ds9hk6m6hsyzD1CwR1f5A,5320,7,27.0,72.0,,,,,,,
인문산책,https://www.youtube.com/channel/UCaOAKbopPsuafXqYTQfiHQA,706,7,51.0,48.0,,,,,,,
대치감성과학,https://www.youtube.com/channel/UCUY9a0HHuO4vazlkI9xH25w,490,7,34.0,65.0,3.527336860670194,11.81657848324515,25.16166960611405,25.86713697824809,21.75191064079953,7.466196355085245,4.409171075837743
현자의 지혜방,https://www.youtube.com/channel/UCb38G9rHh8yvvfaB8AOIS6w,56,7,27.0,72.0,,,,,,,
