title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
레시피 읽어주는 여자,https://www.youtube.com/channel/UC4Icothd_W0M7jRzNyAszoA,1100000,1972881,76.0,23.0,1.3829787234042554,12.446808510638299,34.36170212765957,18.19148936170213,19.46808510638298,10.319148936170214,3.8297872340425525
TRENDY FOODIE,https://www.youtube.com/channel/UCaAEgAQ1_2Hkw18vpmxj4Aw,2380000,1942242,42.0,57.0,,,,,,,
몰라도 괜찮아,https://www.youtube.com/channel/UC-BvmzvJGpmlGYxytdgCKeA,120000,1923548,29.0,70.0,,,,,,,
라밍,https://www.youtube.com/channel/UCdUlfhrbNMuWgPq0jiobuXg,239000,1895307,100.0,0.0,4.30327868852459,19.825819672131143,26.895491803278688,23.668032786885245,17.622950819672127,4.405737704918033,3.278688524590164
더브라이언 The Brian,https://www.youtube.com/channel/UCOe9T7ymLLB16IROjlXT3yQ,296000,1852344,50.0,49.0,3.8647342995169085,15.351583467525497,32.259796027911975,21.631776704240472,19.431025228126682,5.636070853462159,1.8250134192163179
foodgio,https://www.youtube.com/channel/UCA5dGkziv704dAhY8wMMqmA,245000,1796904,41.0,58.0,1.3006503251625814,9.704852426213105,29.814907453726867,23.311655827913956,18.70935467733867,10.955477738869433,6.203101550775387
푸드타임 Foodtime,https://www.youtube.com/channel/UCvb7k6DggRNtIIzhd1FY_JA,57600,1783404,38.0,61.0,2.902675014228799,12.407512805919179,35.002845759817866,23.16448491747296,19.74957313602732,5.577689243027888,1.1952191235059761
숏반찬,https://www.youtube.com/channel/UCwZ3MI2EBQhhfU9ALzGLIFg,28100,1730327,37.0,62.0,4.379185986604843,19.88665636269964,35.75476558475013,20.91705306543019,14.83771251931994,3.194229778464709,1.0303967027305512
농가살리기,https://www.youtube.com/channel/UC-hzcfimUXqHkCXSuNnWIjQ,10300,1717239,64.0,35.0,0.11402508551881414,1.5963511972633977,8.437856328392247,18.187001140250857,27.936145952109463,30.558722919042193,13.169897377423034
묵짜 MUKJJA,https://www.youtube.com/channel/UCyPOG_WzW6IK1ZiXGDBH1TA,140000,1683180,57.0,42.0,0.3995433789954338,4.052511415525115,16.780821917808222,21.917808219178088,24.200913242009133,22.03196347031963,10.616438356164386
