channel_id,channel_name,n_videos,cluster_id
UCBZFAkHXGvOH5QFsWNAUpTw,꽃차교실,10,1
UCBaf_e26fqirvbTAX2H40Hg,피카토 Phycato,10,1
UCBdio0WCeRqN6iSzODb_KOw,바른세상병원,10,0
UCBe0N2MoWhVKHKEoYPl8XvQ,오상신경외과의원,10,0
UCBfF9OOAAc-Vxv48qno9Tpg,나헌식TV,10,0
UCBfQfFkKkMCYjJ4aj0FqI8A,행복한기다림 미희TV,10,1
UCBj6yA2pg3nVr4EjDcybHYA,김자영의 미토TV,10,0
UCBqUpQhb5nVOI2g86TANmvA,지혜롭다 : 삶의 지혜와 인생사연을 담다,10,0
UCBuNljfs8MtTpcRlG8YvD2Q,서울의료센터,10,0
UCBvHgAwju2EvQnFl12NlVkg,노후지혜,10,0
UCC-eABUxQLWErgabW-IM0nQ,약초로 백세,10,1
UCCFD5pLnLB2oEb4tPm1YemA,김지만TV,10,0
UCCGR6u27kI44_VWM1FJa7mw,약드라이브,10,0
UCCHjvngcFIEYLvypeHLvrpQ,One Day(어느날),10,1
UCCMDP4zxreqQ3v5BAYK6KRg,동아제약 OFFICIAL,10,0
UCCMFTDGarjgZLc1DlIbbvRg,이지약사tv,10,0
UCCOty33v-EPEnShT3975ZyA,하나이비인후과병원,10,0
UCCZtYfsHp_zsM58mMmfWoyA,남성 파워 건강TV,10,1
UCCgMUqWfLg3plThNaIemW8Q,너와 나의 은퇴학교,10,1
UCCgMy7YlE8GOgb4OgFLHZzg,서효원목사 말씀치유기도,10,1
UCCkj5yY_oT24IXyBtkMUKUA,비만탈출 연구소 - 다이어트 가이드,10,1
UCCwxxUvGt5eV1d0oNQuoGew,홍슐린 Hongsulin,10,1
UCDEG9dOfuBfvUZHnV03fsTA,닥터 조커,10,0
UCDGiDdclwBxH0xWWSIyA4zA,건강 스케치,10,0
UCDOgMBIqlZRyyImVB5U3ZMQ,지방쿸,10,1
UCDjkAMGMzaYqmDuQUTD-vbQ,권원장 근육관리 [치유가],10,1
UCDkbjIaqkEAQugZcWo4O_DA,스무디 다이어트 | 해독 장선생의 건강 루틴,10,0
UCDnD2G8DJDWC8l3PxV8Z-9w,백세건강,10,0
UCDp34bAXaJbo7PT1igMMQKg,연세신통TV,10,0
UCDrG6kIO-NiN80sQM8F9roQ,수와진💗안상진TV,10,1
UCDsHMTplRfN3voJtSV2X0rQ,두뇌활력 연구소,10,1
UCDumz0HIZCJ9yQRf72KpN3w,통증닥터백선생,10,1
UCDxgrjdpI7TWVf1G8uJOztQ,닥터U와 함께,10,0
UCDy8IPYmRu6WbDUyAs1ffyg,바른의사 백승우,10,1
UCE27Igr1GIxF3OVqsLyZQVQ,지혜백년,10,0
UCE9sh6noNA7vBPSWPA4VFZg,헝그리스포츠,10,1
UCEIt2uHc6gErZ5OhM_4PD1Q,부산대학교병원,10,1
UCEKTF51I3UiM19UetQqLxMQ,엠디TV [20년 Only 가슴성형],10,0
UCEVNDiFkaojXxgvYRmb9CHw,페이보릿 퀴즈 • Favorite Quiz,10,1
UCEaJHTyVOTy-EnSiPojvQJg,엑스플랜트 (xplant.co.kr),10,1
UCEcL8vvX2V0z2nM8oXQVIeQ,SOOD_ Edward Park,10,0
UCEn_SuU2BIzIzu7-x1vFv4A,중국탁구연구소,10,1
UCEoZf-AWt-L9m3pPEK6ywzA,Inner Healing Music,10,1
UCEqaIYcv-1ES142qB8-xAjw,스튜디오 상상인,10,0
UCEu0i8clLZcIIREJTa3HfEA,올라운더 장박사,10,1
UCF3foF-MPoSafImUPvN1etA,당뇨 극복하기 : 혈당연구소,10,1
UCF89PBPRAyqDtps-IvAV6cg,옥이네다육이,10,1
UCF9Ks4KdgTwnA6MuLboQESQ,야생화의신비 Wildflower Mystery,10,1
UCFIWQ9OqK7FxawPFZEVnQog,나근사설,10,1
UCFIvAd47LFnUAAQWsvfgLrw,한국암웨이 | Amway Korea,10,0
UCFJEWuZbFj2eyD5FKcBlZnw,하제용대한민국 가장 힘 쎈 남자,10,1
UCFQtb7VzPKnRisKxAqO1wjw,minimalize scars Korean -lumpdoctor이사부,10,1
UCFenHjfqkwDFalw73fHvjww,뮤직힐링테라피 MJ MUSIC HEALING THERAPY,10,1
UCFfa_-Gvxe2yocNTTgwThyQ,닥터라이블리 - 모어댄뷰티,10,0
UCFhliquzU-5I83gMrb-HIVw,신경과전문의 박재현,10,0
UCFnx5pb5KhDBfPwJiTq5M-w,YURA LIFE,10,0
UCFtY0rnLZD6Ihy9YW2N4RfA,김예현_YEPI,10,1
UCFvqCNfCGvVsuU-DpNcIXNQ,한국 비뇨기과 의사,10,0
UCG5LBY-JUvHYotJ8ODBNsNw,지식의 맛,10,1
UCGDjp1fHJsal8ytfTbugyGw,건강한 하루일기,10,1
UCGFMlJcTiThlU379QG1nTJQ,비뇨의학 TV- 이웅희,10,0
UCGFPgroNdTYwy2j3KH5w14A,뉴스타트 박학근tv,10,0
UCGNtVzTi0VM4T_fOrXstv8w,혈관구조대_청맥,10,0
UCGRj74lcFcXF5V_NreIe8mA,하루백서,10,1
UCGdJG9d0OaF--aSYdB23ZMw,마이나슈TV,10,1
UCGinIE64fsCIHQAV7qJGG0A,엔젤요가 hm yoga,10,1
UCGvEE_C5SVxXL5qW0_UhZqA,서울부민병원,10,0
UCGyYH219gPS8hXJmaaZ0DeA,고쳐줘 NOW,10,0
UCH4Recm0sHhd3bEc_r54YmA,1분팁,10,1
UCHB_MKGzSK_NsfIDnErUJDw,간들간들,10,0
UCHDOgUy_a26vyO7jaGn7XmQ,바둑퀸,10,1
UCHDoVNV6NkgjuiCyLIMmdqQ,차병원 CHA Medical Center,10,0
UCHIH-Fu_7HLjE3SHkirGlig,비앤빛TV,10,0
UCHLxiySp_bOSL0TsUcPV0Iw,Relax Gently,10,1
UCHP7gG3B9QE9DSEoBRXmDyQ,율무차,10,1
UCHQj5T2MD6vD4K6Zc3We6pg,네츄럴보디빌딩학과,10,1
UCHYv07UtJkjSu3qDoo2he_Q,인생이시트콤_고구마 VLOG,10,1
UCHhtRT2BHQvgIuxpuKiSLkw,시니어시니어!,10,1
UCHwi1XQ7a0hWJ7RoDn9MAjQ,[ATOMY KOREA Official]애터미 공식 제품 채널,10,0
UCI-rCNlQcB1Z1XksQxMSBKA,몸신한의사 한진우,10,0
UCI2XyZ4i_5ui7vM4QO95EIA,신재활의 무릎재생 ▶,10,1
UCI6XQ-Z1DWlkQqIf7RyEq4Q,K군 연애홀릭,10,0
UCIJXye7VhSVT-7agMoZdMpQ,닥터 살루스,10,1
UCIPLKPZ1wUNiU2h3zc4iYSw,Dr. Lee Min Soo,10,0
UCIRVUrwZPuVL05S9uBOpx8g,명지병원-MYONGJI HOSPITAL,10,0
UCIjwtJ_Ib0hMkarB2j9zYQg,닥터리TV_비만 치료만 30년,10,0
UCIqNAJC8l8rCAXOZPyfyG0Q,세브란스,10,0
UCJBIx-AyBTe0lLfr9ssEe2Q,더건강연세 재활운동센터,10,0
UCJBVI_x_ecMZMFk-8zkxt8Q,정하윤-개구리누나,10,0
UCJSp4GqXKkQB2Um0hhgeM3Q,발레하는 펄리나 PEARLINA,10,1
UCJX6qbVj0RvvrjlumQBHGtQ,몸수리 (구 운동한입),10,1
UCJjwunfIpTvVsJrWIeiprlA,디아지트,10,1
UCJkmwh-4kFkhxT_fNEGkhnw,DR.유미의 성(性)세포들,10,0
UCK7EFcwENTp8vu42PVdRXGQ,닥터 정직왕,10,0
UCKCLI9BYUThLn6MY23haVjA,박경숙 원장의 온통보감,10,1
UCKGiDTAcG-TkT5v6gBCoEEQ,홍순래 박사 TV (사주.작명.꿈해몽),10,1
UCKO29oHODNoM9uAtjk4VlTg,민쓰운초 Min's,10,1
UCKPQTCyNbavWRvuI61EPikA,소리탐정_쉽고 친절한 발성,10,0
UCKRu9cuY5GZcpTBKxF4_nfw,치아의본질 강정호,10,0
UCKXeTKG2IZnB0CDx7REd9aQ,Dr. Robert의 건강 비결,10,0
UCKcoIgqVJfhkM90ouK8TFaw,운동발전소,10,0
UCKdvqF-mmgiifS_pinO_bRA,EBS 건강,10,0
UCKgnUtkVL8o9U2h3451sBVA,피지컬에셋,10,1
UCKm4_DlQnY6U6SXVeDGDMhw,백세지혜길잡이,10,0
UCKmEDAD5k5KFMcY5wvGIeGQ,에일린 mind yoga,10,1
UCKnp3hst7gwx47lyR3jqi6w,닥터포유,10,0
UCKxQOhOP24zDieuNHDhPzZg,GREAT DETECTIVE COOKIE,10,1
UCL6Zzbr4z7o--eGUuFTWgJg,백세지혜 라디오,10,0
UCL6doUTgz_nSC05J5DBMmFQ,내조왕,10,1
UCL80zgXZuKgOt54-KUWeSqw,이은아의 치매를 부탁해,10,0
UCLH1kOXC0wBah9o6NeOroYw,안까의사 [강남이오스안과],10,0
UCLOxiP0uHdpnJx3Orxc2R5A,코루쇼,10,0
UCLVrqcbE0yH-gJnhHnU3VIg,착한언니,10,1
UCLWGXTfHBcdV-nHhaXqBRwg,광벽의 소소행,10,1
UCLYKBuBeAFt12Bzy0X-aWMw,사랑합니다,10,1
UCLZbDbQXnPlTVIqp9Nf7TdQ,자율신경한의사 박원장,10,0
UCLaq_IZgG_w6emiu9FjSgWA,손승도 힐링 TV,10,0
UCLubZlH0ndj2sXlIl_UpesQ,박민천 채널 TV,10,0
UCM5PEAoFtNy4GCL5WYAd1oA,정우석,10,1
UCM5fU-eTFFHkLopBY5tbe1A,50대채널,10,1
UCMAXvVcwlqs4hk4FnWBYO7A,KSMO TV_그암이 알고 싶다,10,0
UCMA_DTVCzlALpD8hfGmYAlg,무나홈트 Moona Workout,10,1
UCMH-1eX2Gc7R1lO0iTEdgxQ,백년의 약속,10,0
UCMHZrwm4m_eKiGLfPFtY04w,명상하는작은언니,10,0
UCMYFfUu0IHJTF7J4hE-1lGg,이건민의 풍성한 이야기,10,0
UCMah8P8PJBAy8kXbrVgedqw,귀사남,10,0
UCMbbDgoXKietxiTP16_3lFg,소년간호사,10,1
UCMc61QsqMMWWajw7m9kZtFg,닥터힐러 최준하,10,0
UCMd7fLTSsu3R9POCqNPNXSQ,탱자마미,10,0
UCMpTteg2C4jYAhoSzFeEtZA,우주기,10,0
UCMtAX_8rOh7b81TBWaWFEsg,메이트언니들matewedding,10,0
UCMvUCXTPcPEa7mf82Nt02WQ,이복자챔피언,10,1
UCMyHgLyD-7EODGT4V7XATtw,질좋은 언니들,10,0
UCN-KjQV6Q1uNEjcFx8jZvHQ,오쿠ocoo,10,1
UCN1A0pT9YtzTQBNPE6KxC8w,부산365mc - 지방이TV,10,0
UCNEe0b1NWaZeYXyg238v0lg,"[대한결핵 및 호흡기학회] 건강한 숨, 행복한 삶",10,0
UCNcl4-NKaNrX0CBK3Gmd5Ag,홍삼아 댄스&에어로빅,10,1
UCNfx3Lk4eHKHIG9na9wxoTw,Resoul Relaxing Music,10,1
UCNtfFNmmBnjypX-XnDHeSjw,백세의 비밀,10,0
UCNvZm2nE9jzGmJwHC7ZnjpQ,건강박사의 장수노트,10,0
UCO32LLnrAUlLuT-0KP4aP3A,근성장훈련소 MuscleCamp,10,1
UCO3XpA23Aiw2sNXO0BPisLQ,양악김선생,10,0
UCO73y3Xo_W4DB_pUImiYheA,건국대학교병원,10,0
UCOFZMYjmT1SDAYjxS_P-y3w,황혼의 사랑,10,1
UCOGa-Jq_2wQmcefhlrztCJg,지식라디오,10,0
UCOSvlw3JVFZzl00NlQsR8BQ,돈키호테박서흥,10,1
UCOUzm2Kw5nKAwyDd1ewjXwA,우리 모두 튼튼,10,0
UCO_MXYZzB5vNkdcCWUXz5Rg,닥터로미의성형노트,10,0
UCOoLHHnlDOU9yAPs2dcYNVA,효초TV,10,1
UCOual_eH_ddguQGKbWc36YQ,Wanhee 완희,10,1
UCOywTwTenIqiE3MqlOJQ9Fg,굿리치,10,0
UCP4WsWqUQAWZb7e6J9G9YxA,PM11 Studio - Relaxing Music,10,1
UCP5YHr1g0MoVPGfIR-w2p7g,닥터스토리,4,0
UCP7OU6koPGdRgk7mCMv5dOQ,안과언니,10,0
UCP9coB9wlpJkqMHj8lXI5aw,힐링트리뮤직Healing Tree Music,10,1
UCPAz1w9i2ajr4935hYNy8bA,알약TV-알통키우는약사,10,1
UCPULZ1uKpIlx0228uMNFOEA,제우스남성의원 원장 이석영,10,0
UCPYwLhVKQ7X0l66Q2jUp2FQ,휴바스코리아 HUBAS KOREA,10,1
UCPdxttikGBpKqnqteyCrh_w,sarangkang_강사랑,5,0
UCPjQRj2W1zYyrNYJQQwj4HA,신바람건강정보,10,1
UCPkU9Vm1tNsQVT-LpuT_Ifg,새힘라디오,10,1
UCPxdUQxQ0mdcqrSgQSvEUwg,옥황궁 장군신당,10,0
UCQ1BvUkWenb7uSnLuM5wxgA,Music Therapist,10,1
UCQ7-HAZFih8Xi-iFiBL_0hg,뇌똑똑TV,10,1
UCQFbawnpUomGlls8SUq7uCg,통찰의학 돈건통,10,0
UCQIQp2EH6nOI8tjdOSmGujA,Pyeongkang,10,1
UCQPvsX6gTWhwMu1XXZULrsA,365노후건강,10,0
UCQXnPewQ9MDYJKlp_3gvVOg,8체질연구소,10,0
UCQZMRnlvOPXLKfQ0a0MdTIg,건강 다다다 ㅣ 종근당건강 공식 유튜브,10,0
UCQb2SRRFEODl1bygGiMJGlg,제이수란,10,1
UCQeMqUr-7SfHTGAJo0mwE3g,Korean Heart Sutra,10,1
UCQfnv5_Rrq7NPXMsuxu3Bpg,라이브치과병원-LIVE dental hospital,10,0
UCQnbEcKjCBh-lEdX18Jimgg,분당차병원_CHA Bundang Medical Center,10,0
UCQt6bki_yeKaMS4hLm6YWlA,찐한의사,10,0
UCQuD_FVxA12mWP0V8hZjuEA,교보라이프플래닛,6,0
UCR8J54wOMKVKfuLIECaBFGQ,카니비비안 carni_vivien,10,0
UCRGZCFuFCwp2D_YKByrqRfw,에이핏 afit,10,1
UCRIEZCglywEHWUgti3zcnzA,백세시니어,10,0
UCRU0BQP9sA2UAZYMsZdEyuA,쿠크닥스 : 멘탈 바사삭 클리닉,10,0
UCRUf2cB7BnbJhjcEmDYsPEA,Dr.도도라파,10,0
UCRX6YLuWkLKbXfoWmZ3OF-Q,최현규프로[Think 골프],10,1
UCRY4kdkYSPtsy6to4FEAaog,YJ Care Clinic,10,0
UCRYnUUK7uJYO29FVz8T4e_A,빛나리_성악힐링마스터,10,0
UCRf1axswcRFRbFtpR1LqdkA,매력적인 노년 이야기,10,0
UCRgIczggxkiuMiOk1NOGF5A,입튜브,10,0
UCRq4EGdUsNwepOHGoZgOUfw,뽀그리 bbori,10,1
UCRrZ5RYIalHLiHq5ftzxM6A,빵느,10,1
UCS1EqlF3NbRsn1rfWL_7_qA,박치열의 코멘터리,10,0
UCSA1fvrRfwWAgN-2iuGlQRQ,헬저씨,10,1
UCSBBghDcPUpWl7ietzdL6EA,Tempo:rest,10,1
UCSFKRy_oaRKNVWLBuCRxS2g,밝음나눔안과,10,0
UCSKZIx1DcvALon4jHTCxblA,Lotus Relaxing Music,10,1
UCSPI5jM1Y4-QeU5twweENJA,요가배 | 뇌과학 치유요가&마인드,10,1
